PathID	Output Frequency Start	Output Frequency Stop	Synthesized Frequency Start	Synthesized Frequency Stop	Divide Ratio (2^?)	"SNR Mode ( 0 ), Wide FM Mode ( 1 ), HarmFiltOff ( 2 )"		MechStepAtten_AttenCardA	MechStepAtten_AttenCardB	MechStepAtten_AttenCardC	MechStepAtten_AttenCardD	MechStepAtten_AttenCardE	Unused	Unused	Unused	Unused	Unused	Unused	Unused	Unused	Unused	Unused	Unused	Unused	Unused	Unused	Unused	Unused	Unused	Unused	Unused	Unused	Unused	Unused	Unused	Unused	Unused	Unused	Unused
013	750.00E+6	1.07E+9	6.00E+9	8.56E+9	-3	0		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
014	1.07E+9	1.50E+9	8.56E+9	12.00E+9	-3	0		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
015	1.50E+9	2.10E+9	6.00E+9	8.40E+9	-2	0		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
016	2.10E+9	3.00E+9	8.40E+9	12.00E+9	-2	0		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
017	3.00E+9	3.20E+9	6.00E+9	6.40E+9	-1	0		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
018	3.20E+9	4.20E+9	6.40E+9	8.40E+9	-1	0		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
019	4.20E+9	6.00E+9	8.40E+9	12.00E+9	-1	0		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
020	6.00E+9	7.40E+9	6.00E+9	7.40E+9	0	0		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
021	7.40E+9	9.50E+9	7.40E+9	9.50E+9	0	0		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
022	9.50E+9	12.00E+9	9.50E+9	12.00E+9	0	0		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
023	12.00E+9	14.80E+9	6.00E+9	7.40E+9	1	0		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
024	14.80E+9	19.00E+9	7.40E+9	9.50E+9	1	0		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
025	19.00E+9	24.00E+9	9.50E+9	12.00E+9	1	0		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
																																							
101	5.00E+6	5.8593750E+6	9.62E+9	9.62E+9	-2	1		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
102	5.8593750E+6	11.7187500E+6	9.62E+9	9.65E+9	-2	1		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
103	11.7187500E+6	23.4375000E+6	9.65E+9	9.69E+9	-2	1		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
104	23.4375000E+6	46.8750000E+6	9.69E+9	9.79E+9	-2	1		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
105	46.8750000E+6	67.00E+6	9.79E+9	9.87E+9	-2	1		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
106	67.00E+6	93.75E+6	9.87E+9	9.98E+9	-2	1		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
107	93.75E+6	155.00E+6	9.98E+9	10.22E+9	-2	1		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
108	155.00E+6	187.50E+6	10.22E+9	10.35E+9	-2	1		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
109	187.50E+6	265.00E+6	10.35E+9	10.66E+9	-2	1		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
110	265.00E+6	375.00E+6	10.66E+9	11.10E+9	-2	1		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
111	375.00E+6	530.00E+6	6.00E+9	8.48E+9	-4	1		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
112	530.00E+6	750.00E+6	8.48E+9	12.00E+9	-4	1		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
113	750.00E+6	1.07E+9	6.00E+9	8.56E+9	-3	1		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
114	1.07E+9	1.50E+9	8.56E+9	12.00E+9	-3	1		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
115	1.50E+9	2.10E+9	6.00E+9	8.40E+9	-2	1		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
116	2.10E+9	3.00E+9	8.40E+9	12.00E+9	-2	1		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
117	3.00E+9	3.20E+9	6.00E+9	6.40E+9	-1	1		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
118	3.20E+9	4.20E+9	6.40E+9	8.40E+9	-1	1		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
119	4.20E+9	6.00E+9	8.40E+9	12.00E+9	-1	1		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
120	6.00E+9	7.40E+9	6.00E+9	7.40E+9	0	1		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
121	7.40E+9	9.50E+9	7.40E+9	9.50E+9	0	1		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
122	9.50E+9	12.00E+9	9.50E+9	12.00E+9	0	1		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
123	12.00E+9	14.80E+9	6.00E+9	7.40E+9	1	1		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
124	14.80E+9	19.00E+9	7.40E+9	9.50E+9	1	1		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
125	19.00E+9	24.00E+9	9.50E+9	12.00E+9	1	1		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
